"Data de referência dos dados: 01 de outubro de 2020","","","","","","","","","","","","","","","","","","","",""
"Empreendimento","CEG","UF","Fonte","Fase","Origem","Tipo","Tipo de Atuação","Combustível Final","Entrada em Operação","Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)","Geracao Qualificada","Latitude (GMS)","Longitude (GMS)","Início Vigência","Fim Vigência","Proprietário / Regime de Exploração","Cod e Descrição Sub-Bacia","Município (s)"
"Deuzarina Alves Cardoso","UFVRSPA045260-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","08/08/2019","1.00","1","0","N/I","3° 52' 7,770"" S","49° 16' 9,678"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Deuzarina Pereira Brandao","UFVRSPA045564-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","04/09/2019","1.00","1","0","N/I","3° 52' 59,711"" S","49° 54' 28,670"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Deuzedito Santana Tenorio","UFVRSPA040382-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","19/03/2018","1.00","1","0","N/I","2°17'45,276""S","52°53'10,32""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Deuzelia de Sousa Silva","UFVRSPA046245-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/10/2019","1.00","1","0","N/I","4° 1' 13,008"" S","49° 43' 44,969"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Deuzelia de Sousa Silvamanoel Pinto Neto","UFVRSPA046246-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/10/2019","1.00","1","0","N/I","3° 55' 0,664"" S","49° 44' 12,988"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Deuzimar da Silva Araujo","UFVRSPA040407-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","20/03/2018","1.00","1","0","N/I","2°17'37,176""S","52°10'54,876""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Deuzione da Silva Barbosa","UFVRSPA040033-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","01/02/2018","1.00","1","0","N/I","2°7'15,42""S","52°45'59,292""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Deuzuita do Nascimento","UFVRSPA046631-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","20/11/2019","1.00","1","0","N/I","3° 54' 44,212"" S","49° 52' 28,456"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Dezanildo da Fonseca Teixeira","UFVRSPA040384-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","19/03/2018","1.00","1","0","N/I","2°4'1,164""S","52°15'38,124""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"DH&C Outsourccing S/A - Datacenter","UTEPESP029630-9","SP","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/10/2007","648.00","648","0","Não","23°32'51""S","46°38'10""W","","","100% para DH&ampC Outsourccing S.A (REG)","","São Paulo - SP"
"DHB Componentes Automotivos (Unidade 1)","UTEPERS030587-1","RS","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","30/01/2012","1,016.00","1016","0","Não","29°59'10,323""S","51°9'54,252""W","","","100% para DHB Componentes Automotivos S.A (REG)","","Porto Alegre - RS"
"DHB Componentes Automotivos (Unidade 2)","UTEPERS030586-3","RS","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","30/01/2012","2,032.00","2032","0","Não","29°59'8,451""S","51°9'57,561""W","","","100% para DHB Componentes Automotivos S.A (REG)","","Porto Alegre - RS"
"Dia Brasil","UTEPESP029117-0","SP","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","06/01/2003","640.00","640","0","Não","23°28'48,493""S","46°31'37,639""W","","","100% para Dia Brasil Sociedade Ltda (REG)","","Guarulhos - SP"
"Diacal II","PCHPHTO027411-9","TO","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","01/04/1999","5,040.00","5040","3690","Não","-1","-1","10-02-2000","10-02-2030","100% para Tocantins Energética S.A. (PIE)","","Dianópolis - TO"
"Diamante","UTEAISP028893-4","SP","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","01/01/1989","7,000.00","7000","0","Não","22°22'10,297""S","48°41'16,677""W","19-03-2003","19-03-2033","100% para RAÍZEN ENERGIA S.A (PIE)","","Jaú - SP"
"Diamante (Antiga Camargo Corrêa)","PCHPHMT000607-6","MT","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","29/12/2005","4,230.00","4230","1600","Não","-1","-1","14-11-1997","14-11-2027","100% para CPFL Sul Centrais Elétricas Ltda (PIE)","","Nortelândia - MT"
"Diamante II","EOLCVBA032347-0","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","13/04/2018","17,500.00","17500","7700","Não","11°6'20,003""S","42°40'23,112""W","02-04-2015","02-04-2050","100% para Parque Eólico Diamante II S.A (PIE)","","Gentio do Ouro - BA"
"Diamante III","EOLCVBA032348-9","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","13/04/2018","17,500.00","17500","7900","Não","11°5'25,315""S","42°40'58,829""W","02-04-2015","02-04-2050","100% para Parque Eólico Diamante III S.A (PIE)","","Gentio do Ouro - BA"
"Diamantino","CGHPHGO038152-7","GO","CGH","Construção","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","-","3,000.00","0","2220000","Não","17°20'58,68""S","52°48'44,82""W","17-01-2017","17-01-2054","100% para DIAMANTINO ENERGIA LTDA (PIE)","24 - Alto Araguaia e rio Claro","Mineiros - GO"
"Diana","UTEAISP027890-4","SP","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","28/06/2000","6,000.00","6000","0","Não","21°24'4,68""S","49°53'36,6""W","27-07-2015","27-07-2045","100% para DIANA BIOENERGIA AVANHANDAVA SA (APE)","","Avanhandava - SP"
"Diana Barbosa Pinheiro","UFVRSPA039724-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","22/01/2018","1.00","1","0","N/I","1° 52' 25,378"" S","52° 38' 38,180"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dianópolis","PCHPHTO027227-2","TO","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","01/01/1994","5,500.00","5500","1590","Não","-1","-1","28-09-2000","28-09-2030","100% para Tocantins Energética S.A. (PIE)","","Dianópolis - TO"
"Dias","PCHPHMG037467-9","MG","PCH","Construção não iniciada","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","-","6,606.00","0","0","Não","18°53'20""S","48°19'17""W","26-03-2020","26-03-2055","100% para MLJ ENERGIAS RENOVÁVEIS LTDA (PIE)","60 - Paranaiba","Uberlândia - MG"
"Didimo Ferreira de Sousa","UFVRSPA039526-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","05/03/2018","1.00","1","0","N/I","2° 4' 55,344"" S","52° 19' 47,316"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Diedro Construções e Serviços","UTEPEMG031136-7","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/08/2010","364.00","364","0","Não","19° 55' 15"" S","43° 56' 16"" W","","","100% para Diedro Construções e Serviços Ltda (REG)","","Belo Horizonte - MG"
"Diego Baia Cardoso","UFVRSPA045184-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","07/08/2019","1.00","1","0","N/I","3° 47' 32,712"" S","49° 49' 47,863"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Diego Bezerra Rodrigues","UFVRSPA039955-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","09/02/2018","1.00","1","0","N/I","2° 9' 30,780"" S","52° 46' 46,884"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Diego Brito de Andrade","UFVRSPA039330-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","10/01/2018","1.00","1","0","N/I","1°45'33,588""S","52°52'47,532""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Diemerson Carvalho Costa","UFVRSPA046152-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","17/10/2019","1.00","1","0","N/I","3° 59' 58,898"" S","49° 41' 0,172"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Diemerson de Moraes Melo","UFVRSPA039396-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","15/01/2018","1.00","1","0","N/I","1° 45' 59,760"" S","52° 47' 27,456"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Diemison Alves Ferreira","UFVRSPA046143-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","17/10/2019","1.00","1","0","N/I","3° 50' 6,414"" S","49° 45' 32,306"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Diene Gama Inajosa","UFVRSPA039083-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","07/12/2017","1.00","1","0","N/I","1°32'21,336""S","52°14'38,688""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Diene Postilhe Farias","UFVRSPA039093-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","08/12/2017","1.00","1","0","N/I","1°44'59,82""S","52°26'4,2""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Difrane Artefatos de Papel","UTEPEPR029793-3","PR","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","08/09/2008","480.00","480","0","Não","23°31'19,598""S","51°26'14,313""W","","","100% para Difrane Artefatos de Papel Ltda. (REG)","","Apucarana - PR"
"Dilaercio Cardoso Bugarim","UFVRSPA045142-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","30/07/2019","1.00","1","0","N/I","3° 52' 38,161"" S","49° 44' 5,122"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Dilcevani Toscano de Oliveira","UFVRSPA039125-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","13/12/2017","1.00","1","0","N/I","1° 26' 44,448"" S","52° 18' 43,200"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dilcilene do Socorro Pinto","UFVRSPA045786-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","20/09/2019","1.00","1","0","N/I","3° 53' 39,585"" S","49° 49' 34,388"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Dilcilene Fernandes Barbosa","UFVRSPA039397-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","15/01/2018","1.00","1","0","N/I","1° 51' 24,840"" S","52° 44' 27,780"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dilcilene Toscano de Oliveira","UFVRSPA039153-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","15/12/2017","1.00","1","0","N/I","1° 26' 47,184"" S","52° 30' 19,764"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dilei Barbosa Caetano","UFVRSPA040283-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","14/03/2018","1.00","1","0","N/I","2°20'33""S","52°43'53,58""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dilene do Socorro Correa Caldas","UFVRSPA038756-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","15/11/2017","1.00","1","0","N/I","2°1'48,72""S","53°9'35,028""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dilma Machado Dos Santos","UFVRSPA046002-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","26/09/2019","1.00","1","0","N/I","3° 52' 53,227"" S","49° 44' 29,166"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Dilson Sanches Moreira","UFVRSPA039677-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","20/01/2018","1.00","1","0","N/I","1° 54' 37,548"" S","52° 38' 31,740"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dinaelson Ferreira Barbosa","UFVRSPA040014-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","31/01/2018","1.00","1","0","N/I","1°49'50,992""S","52°32'53,736""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dinair Sanches Barbosa","UFVRSPA039447-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","17/01/2018","1.00","1","0","N/I","1° 51' 44,784"" S","52° 44' 44,160"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dinaldo da Silva Monteiro","UFVRSPA046308-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","30/10/2019","1.00","1","0","N/I","3° 57' 52,708"" S","49° 51' 34,747"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Dinalter Silva da Silva","UFVRSPA038557-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","31/10/2017","1.00","1","0","N/I","2°4'42,348""S","53°16'53,58""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dinalva do Espirito Santo Costa","UFVRSPA039084-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","07/12/2017","1.00","1","0","N/I","1°32'55,5""S","52°14'30,66""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dinalva Medeiros Coelho","UFVRSPA045898-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","01/09/2019","1.00","1","0","N/I","3° 48' 14,990"" S","49° 48' 18,137"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Dinalva Vieira do Porto","UFVRSPA038448-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","09/03/2018","1.00","1","0","N/I","2°7'5,268""S","52°23'23,28""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dinelson do Amaral Carvalho","UFVRSPA038796-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","18/11/2017","1.00","1","0","N/I","1°56'5,172""S","53°7'30,756""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dinete Pinheiro da Vega","UFVRSPA045261-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","08/08/2019","1.00","1","0","N/I","3° 51' 7,823"" S","49° 47' 0,283"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Dinis Gomes Tenorio","UFVRSPA046650-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","21/11/2019","1.00","1","0","N/I","3° 46' 51,301"" S","49° 48' 15,966"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Diolanda Ferreira Teles","UFVRSPA039085-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","07/12/2017","1.00","1","0","N/I","1°34'54,552""S","52°20'12,48""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dioleno Moreira Peixoto","UFVRSPA045718-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","13/09/2019","1.00","1","0","N/I","3° 57' 6,901"" S","49° 50' 32,374"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Dione de Souza Moraes","UFVRSPA038511-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","07/03/2018","1.00","1","0","N/I","2°3'3,096""S","52°22'30,96""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dionilson Pinto Martins","UFVRSPA045980-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/09/2019","1.00","1","0","N/I","3° 57' 54,022"" S","49° 49' 21,583"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Distriboi","UTEPESC030376-3","SC","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","07/10/2010","368.00","368","0","Não","26°59'49,62""S","48°39'19,26""W","","","100% para Distribuidora de Carnes Distriboi Ltda (REG)","","Camboriú - SC"
"Distribuidora Amaral","UTEPEMG031258-4","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","05/01/2013","1,500.00","1500","0","Não","20°6'59,384""S","44°50'8,537""W","","","100% para Distribuidora Amaral Ltda (REG)","","Divinópolis - MG"
"Distribuidora de Carnes Patrocínio Agropecuária","UTEPEMG029860-3","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","","186.00","186","0","Não","18°56'33,985""S","46°58'47,273""W","","","100% para Distribuidora de Carnes Patrocínio Agropecuária Ltda. (REG)","","Patrocínio - MG"
"Distrito I","UTEPERR030638-0","RR","UTE","Operação","Fóssil","Petróleo","Autorização","Óleo Diesel","10/04/2010","21,690.00","21690","0","Não","2° 45' 42,000"" N","60° 43' 30,000"" W","26-05-2011","31-03-2012","100% para RORAIMA ENERGIA S.A (PIE)","","Boa Vista - RR"
"Distrito II","UTEPERR031983-0","RR","UTE","Operação","Fóssil","Petróleo","Autorização","Óleo Diesel","13/06/2015","21,320.00","21320","0","Não","2°45'42,538""N","60°43'29""W","","","100% para RORAIMA ENERGIA S.A (PIE)","","Boa Vista - RR"
"Divaldo Coelho de Farias","UFVRSPA045221-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","07/08/2019","1.00","1","0","N/I","3° 47' 34,699"" S","49° 49' 55,376"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Divane Almeida Pereira","UFVRSPA046050-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","27/09/2019","1.00","1","0","N/I","3° 53' 33,713"" S","49° 47' 37,054"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Divigusa","UTECMMG029250-8","MG","UTE","Operação","Fóssil","Carvão mineral","Registro","Gás de Alto Forno - CM","","2,500.00","2500","0","Não","20°6'59,921""S","44°53'2,594""W","","","100% para Divigusa Indústria e Comércio Ltda (REG)","","Divinópolis - MG"
"Divino","CGHPHMG029948-0","MG","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","31/12/2010","999.12","999.12","0","Não","-1","-1","","","100% para Construtora Preart Ltda (REG)","","Divino - MG"
"Divino Ivo Nunes da Silva","UFVRSPA045374-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","22/08/2019","1.00","1","0","N/I","3° 47' 57,574"" S","49° 51' 28,246"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Divinópolis","CGHPHMG029234-6","MG","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/05/2007","999.00","999","530","Não","-1","-1","","","100% para PLURAL LTDA (REG)","","Divinópolis - MG"
